SiPM 7057  (-256.52,-287.62,-22.8)
SiPM 7058  (-256.52,-272.07,-22.8)
SiPM 7059  (-256.52,-256.52,-22.8)
SiPM 7060  (-256.52,-240.97,-22.8)
SiPM 7061  (-256.52,-225.42,-22.8)
SiPM 7062  (-256.52,-209.87,-22.8)
SiPM 7063  (-256.52,-194.32,-22.8)
SiPM 8000  (-365.37,-178.77,-22.8)
SiPM 8001  (-365.37,-163.22,-22.8)
SiPM 8002  (-365.37,-147.67,-22.8)
SiPM 8003  (-365.37,-132.12,-22.8)
SiPM 8004  (-365.37,-116.57,-22.8)
SiPM 8005  (-365.37,-101.02,-22.8)
SiPM 8006  (-365.37,-85.47,-22.8)
SiPM 8007  (-365.37,-69.92,-22.8)
SiPM 8008  (-349.82,-178.77,-22.8)
SiPM 8009  (-349.82,-163.22,-22.8)
SiPM 8010  (-349.82,-147.67,-22.8)
SiPM 8011  (-349.82,-132.12,-22.8)
SiPM 8012  (-349.82,-116.57,-22.8)
SiPM 8013  (-349.82,-101.02,-22.8)
SiPM 8014  (-349.82,-85.47,-22.8)
SiPM 8015  (-349.82,-69.92,-22.8)
SiPM 8016  (-334.27,-178.77,-22.8)
SiPM 8017  (-334.27,-163.22,-22.8)
SiPM 8018  (-334.27,-147.67,-22.8)
SiPM 8019  (-334.27,-132.12,-22.8)
SiPM 8020  (-334.27,-116.57,-22.8)
SiPM 8021  (-334.27,-101.02,-22.8)
SiPM 8022  (-334.27,-85.47,-22.8)
SiPM 8023  (-334.27,-69.92,-22.8)
SiPM 8024  (-318.72,-178.77,-22.8)
SiPM 8025  (-318.72,-163.22,-22.8)
SiPM 8026  (-318.72,-147.67,-22.8)
SiPM 8027  (-318.72,-132.12,-22.8)
SiPM 8028  (-318.72,-116.57,-22.8)
SiPM 8029  (-318.72,-101.02,-22.8)
SiPM 8030  (-318.72,-85.47,-22.8)
SiPM 8031  (-318.72,-69.92,-22.8)
SiPM 8032  (-303.17,-178.77,-22.8)
SiPM 8033  (-303.17,-163.22,-22.8)
SiPM 8034  (-303.17,-147.67,-22.8)
SiPM 8035  (-303.17,-132.12,-22.8)
SiPM 8036  (-303.17,-116.57,-22.8)
SiPM 8037  (-303.17,-101.02,-22.8)
SiPM 8038  (-303.17,-85.47,-22.8)
SiPM 8039  (-303.17,-69.92,-22.8)
SiPM 8040  (-287.62,-178.77,-22.8)
SiPM 8041  (-287.62,-163.22,-22.8)
SiPM 8042  (-287.62,-147.67,-22.8)
SiPM 8043  (-287.62,-132.12,-22.8)
SiPM 8044  (-287.62,-116.57,-22.8)
SiPM 8045  (-287.62,-101.02,-22.8)
SiPM 8046  (-287.62,-85.47,-22.8)
SiPM 8047  (-287.62,-69.92,-22.8)
SiPM 8048  (-272.07,-178.77,-22.8)
SiPM 8049  (-272.07,-163.22,-22.8)
SiPM 8050  (-272.07,-147.67,-22.8)
SiPM 8051  (-272.07,-132.12,-22.8)
SiPM 8052  (-272.07,-116.57,-22.8)
SiPM 8053  (-272.07,-101.02,-22.8)
SiPM 8054  (-272.07,-85.47,-22.8)
SiPM 8055  (-272.07,-69.92,-22.8)
SiPM 8056  (-256.52,-178.77,-22.8)
SiPM 8057  (-256.52,-163.22,-22.8)
SiPM 8058  (-256.52,-147.67,-22.8)
SiPM 8059  (-256.52,-132.12,-22.8)
SiPM 8060  (-256.52,-116.57,-22.8)
SiPM 8061  (-256.52,-101.02,-22.8)
SiPM 8062  (-256.52,-85.47,-22.8)
SiPM 8063  (-256.52,-69.92,-22.8)
SiPM 9000  (-365.37,-54.37,-22.8)
SiPM 9001  (-365.37,-38.82,-22.8)
SiPM 9002  (-365.37,-23.27,-22.8)
SiPM 9003  (-365.37,-7.72,-22.8)
SiPM 9004  (-365.37,7.83,-22.8)
SiPM 9005  (-365.37,23.38,-22.8)
SiPM 9006  (-365.37,38.93,-22.8)
